ts,query,top_k,elapsed_ms,results_count,tracemalloc_peak_kb,proc_mem_before_mb,proc_mem_after_mb,db_size_mb,embeddings_size_mb,index_pass_ms,index_inserted,index_updated,index_skipped
1765642871.1834974,artificial intelligence,5,24078.334499965422,5,164654.162109375,370.28125,561.49609375,26.58984375,0.04862403869628906,264.7488999646157,0,0,19
1765642871.6631856,quantum computing,5,478.16479997709394,5,11810.578125,561.49609375,567.73046875,26.58984375,0.04862403869628906,264.7488999646157,0,0,19
1765642872.1682487,ecosystem services,5,503.41210002079606,5,11803.166015625,567.73046875,567.78125,26.58984375,0.04862403869628906,264.7488999646157,0,0,19
1765642872.8364613,science education risk taking,5,667.2177999280393,5,11808.171875,567.78125,567.98046875,26.58984375,0.04862403869628906,264.7488999646157,0,0,19
1765642873.3164966,mental health climate change,5,478.88850001618266,5,11809.3994140625,567.98046875,566.9921875,26.58984375,0.04862403869628906,264.7488999646157,0,0,19
1765643198.4439087,artificial intelligence,5,22780.716700013727,5,164654.1181640625,369.8671875,562.90625,26.58984375,0.04862403869628906,195.74719993397593,0,0,19
1765643198.9893622,quantum computing,5,544.0819000359625,5,11810.578125,562.90625,567.53515625,26.58984375,0.04862403869628906,195.74719993397593,0,0,19
1765643199.6043422,ecosystem services,5,613.7979000341147,5,11803.166015625,567.53515625,567.34765625,26.58984375,0.04862403869628906,195.74719993397593,0,0,19
1765643200.506896,science education risk taking,5,901.5674000838771,5,11808.171875,567.34765625,566.390625,26.58984375,0.04862403869628906,195.74719993397593,0,0,19
1765643201.1478033,mental health climate change,5,639.5525999832898,5,11809.3994140625,566.390625,580.3984375,26.58984375,0.04862403869628906,195.74719993397593,0,0,19
